<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.25	11:30:00	1990.56	1991.08	1988.62	1989.27	1577	0	7
2023.04.25	11:45:00	1989.32	1989.42	1986.92	1988.61	1696	0	6
2023.04.25	12:00:00	1988.61	1990.98	1988.45	1989.70	1506	0	6
2023.04.25	12:15:00	1989.70	1990.88	1989.46	1990.26	1307	0	5
2023.04.25	12:30:00	1990.27	1990.49	1989.59	1990.14	1473	0	7
2023.04.25	12:45:00	1990.14	1990.37	1987.05	1988.13	1524	0	6
2023.04.25	13:00:00	1988.14	1988.51	1986.81	1987.57	1379	0	7
2023.04.25	13:15:00	1987.57	1987.79	1983.90	1983.94	1821	0	7
2023.04.25	13:30:00	1983.93	1985.54	1983.24	1983.86	1961	0	7
2023.04.25	13:45:00	1983.90	1984.33	1981.80	1982.19	1745	0	7
2023.04.25	14:00:00	1982.24	1982.73	1979.66	1982.20	2338	0	5
2023.04.25	14:15:00	1982.20	1982.62	1980.70	1981.52	1671	0	5
2023.04.25	14:30:00	1981.52	1982.89	1977.75	1979.25	2354	0	5
2023.04.25	14:45:00	1979.25	1980.07	1976.64	1977.60	2240	0	7
2023.04.25	15:00:00	1977.60	1979.34	1976.09	1979.23	2677	0	6
2023.04.25	15:15:00	1979.20	1984.60	1978.99	1984.12	3052	0	5
2023.04.25	15:30:00	1984.14	1989.75	1984.00	1987.94	3542	0	4
2023.04.25	15:45:00	1987.96	1994.49	1987.91	1992.96	3883	0	4
2023.04.25	16:00:00	1992.97	1993.68	1990.35	1990.52	3412	0	6
2023.04.25	16:15:00	1990.54	1991.59	1987.86	1989.21	2734	0	7
2023.04.25	16:30:00	1989.21	1989.81	1984.88	1987.09	4396	0	7
2023.04.25	16:45:00	1987.11	1988.14	1984.08	1985.17	4047	0	7
2023.04.25	17:00:00	1985.16	1989.24	1983.87	1986.30	4340	0	5
2023.04.25	17:15:00	1986.26	1987.69	1983.36	1985.54	3622	0	5
2023.04.25	17:30:00	1985.55	1987.46	1984.92	1986.06	3193	0	6
2023.04.25	17:45:00	1986.06	1988.04	1985.24	1985.85	3143	0	7
2023.04.25	18:00:00	1985.87	1988.08	1985.46	1987.45	2443	0	7
2023.04.25	18:15:00	1987.45	1988.81	1986.69	1988.64	2098	0	7
2023.04.25	18:30:00	1988.72	1990.59	1987.91	1988.29	2403	0	7
2023.04.25	18:45:00	1988.24	1990.72	1988.05	1989.91	2096	0	4
2023.04.25	19:00:00	1989.91	1991.73	1989.47	1991.37	1969	0	7
2023.04.25	19:15:00	1991.31	1991.36	1989.36	1989.74	1775	0	7
2023.04.25	19:30:00	1989.75	1990.21	1988.25	1988.95	1603	0	7
2023.04.25	19:45:00	1989.01	1990.71	1988.55	1990.57	1465	0	7
2023.04.25	20:00:00	1990.57	1991.48	1989.96	1991.38	1825	0	7
2023.04.25	20:15:00	1991.37	1996.41	1990.90	1993.90	3215	0	7
2023.04.25	20:30:00	1993.92	1996.03	1993.69	1995.61	2371	0	7
2023.04.25	20:45:00	1995.53	1999.66	1995.23	1999.06	2722	0	7
2023.04.25	21:00:00	1999.16	2003.16	1998.75	2003.07	2513	0	7
2023.04.25	21:15:00	2003.04	2003.85	1998.64	1998.91	2457	0	7
2023.04.25	21:30:00	1998.95	1999.24	1995.90	1997.01	1925	0	7
2023.04.25	21:45:00	1997.02	1997.06	1994.39	1995.72	1981	0	7
2023.04.25	22:00:00	1995.71	1998.67	1994.70	1997.54	1284	0	2
2023.04.25	22:15:00	1997.58	1998.61	1997.34	1998.11	974	0	7
2023.04.25	22:30:00	1998.18	1999.04	1997.40	1998.30	1120	0	7
2023.04.25	22:45:00	1998.31	1999.44	1998.31	1999.20	1409	0	7
2023.04.25	23:00:00	1999.20	1999.22	1996.16	1996.45	999	0	13
2023.04.25	23:15:00	1996.44	1996.74	1995.80	1995.99	516	0	13
2023.04.25	23:30:00	1995.97	1996.66	1995.84	1996.59	348	0	12
2023.04.25	23:45:00	1996.39	1997.33	1996.35	1997.06	341	0	9
2023.04.26	01:00:00	1996.86	1997.82	1996.64	1997.66	292	0	12
2023.04.26	01:15:00	1997.60	1997.73	1996.85	1997.35	421	0	14
2023.04.26	01:30:00	1997.44	1997.64	1997.01	1997.28	419	0	12
2023.04.26	01:45:00	1997.27	1998.33	1997.27	1997.59	309	0	12
2023.04.26	02:00:00	1997.58	1999.76	1997.58	1999.44	612	0	12
2023.04.26	02:15:00	1999.45	2000.03	1998.94	1999.86	487	0	12
2023.04.26	02:30:00	1999.85	2001.65	1999.53	2000.94	778	0	10
2023.04.26	02:45:00	2000.93	2001.23	2000.09	2000.22	700	0	13
2023.04.26	03:00:00	2000.22	2002.04	2000.12	2001.44	1097	0	7
2023.04.26	03:15:00	2001.38	2002.47	2001.24	2001.64	953	0	7
2023.04.26	03:30:00	2001.64	2001.90	1999.13	1999.60	2229	0	5
2023.04.26	03:45:00	1999.60	2000.12	1997.30	1997.76	2429	0	3
2023.04.26	04:00:00	1997.79	1999.00	1997.15	1998.04	2417	0	2
2023.04.26	04:15:00	1998.03	1998.10	1995.71	1996.61	1774	0	4
2023.04.26	04:30:00	1996.64	1998.26	1996.41	1997.77	2577	0	8
2023.04.26	04:45:00	1997.77	1999.60	1996.84	1999.01	2209	0	6
2023.04.26	05:00:00	1998.90	1998.96	1996.77	1996.82	2103	0	8
2023.04.26	05:15:00	1996.82	2000.78	1996.72	1998.33	1629	0	5
2023.04.26	05:30:00	1998.33	1998.57	1997.43	1998.16	1247	0	7
2023.04.26	05:45:00	1998.14	1999.07	1997.44	1998.57	1156	0	5
2023.04.26	06:00:00	1998.57	1998.57	1997.09	1997.10	1285	0	6
2023.04.26	06:15:00	1997.08	1997.33	1994.67	1994.79	1317	0	5
2023.04.26	06:30:00	1994.78	1995.75	1993.63	1995.43	793	0	6
2023.04.26	06:45:00	1995.43	1995.67	1993.14	1994.13	1037	0	5
2023.04.26	07:00:00	1994.18	1995.28	1994.18	1994.63	582	0	5
2023.04.26	07:15:00	1994.64	1994.99	1994.48	1994.78	464	0	6
2023.04.26	07:30:00	1994.77	1995.57	1994.68	1995.29	553	0	8
2023.04.26	07:45:00	1995.29	1996.28	1995.12	1995.54	699	0	6
2023.04.26	08:00:00	1995.54	1996.50	1995.23	1996.32	798	0	8
2023.04.26	08:15:00	1996.29	1996.85	1995.77	1995.84	817	0	7
2023.04.26	08:30:00	1995.78	1997.79	1995.78	1997.53	1740	0	5
2023.04.26	08:45:00	1997.55	1998.04	1995.62	1996.21	1521	0	6
2023.04.26	09:00:00	1996.21	1996.52	1994.40	1996.19	1678	0	4
2023.04.26	09:15:00	1996.16	1997.64	1995.81	1997.55	1385	0	2
2023.04.26	09:30:00	1997.55	1999.02	1996.95	1998.58	1901	0	5
2023.04.26	09:45:00	1998.57	1998.91	1997.58	1998.32	1672	0	8
2023.04.26	10:00:00	1998.31	1998.80	1996.59	1997.01	2262	0	6
2023.04.26	10:15:00	1997.07	1999.34	1996.53	1998.27	2069	0	7
2023.04.26	10:30:00	1998.27	1999.01	1995.23	1995.92	2388	0	4
2023.04.26	10:45:00	1995.93	1998.87	1995.38	1997.94	1794	0	7
2023.04.26	11:00:00	1997.99	1998.33	1996.34	1996.46	2078	0	7
2023.04.26	11:15:00	1996.42	1997.91	1995.38	1997.88	1772	0	7
2023.04.26	11:30:00	1997.88	1998.12	1996.28	1996.50	1766	0	7
2023.04.26	11:45:00	1996.52	1997.85	1996.12	1997.68	1351	0	7
2023.04.26	12:00:00	1997.74	1998.80	1997.10	1998.68	1579	0	7
2023.04.26	12:15:00	1998.69	2000.14	1997.24	1998.91	1683	0	5
2023.04.26	12:30:00	1998.90	1999.81	1997.87	1998.00	1286	0	6
2023.04.26	12:45:00	1998.01	1999.30	1997.11	1998.86	1116	0	7
2023.04.26	13:00:00	1998.86	1999.92	1998.71	1999.43	1399	0	7
2023.04.26	13:15:00	1999.43	1999.86	1998.79	1999.73	1250	0	7
2023.04.26	13:30:00	1999.75	2000.49	1999.22	1999.84	1225	0	7
2023.04.26	13:45:00	1999.84	2000.04	1998.67	1999.28	1385	0	7
2023.04.26	14:00:00	1999.28	1999.69	1998.03	1999.07	1747	0	7
2023.04.26	14:15:00	1999.09	2001.74	1998.40	2000.67	2111	0	7
2023.04.26	14:30:00	2000.69	2000.89	1991.44	1993.38	2688	0	7
2023.04.26	14:45:00	1993.42	1998.14	1992.90	1995.74	3768	0	5
